شعبه,آیتم منو,وضعیت,انتظار 28 روز,حداقل,حداکثر,پیشنهاد سفارش,میانگین روزانه,نسبت روزهای فروش,روز سابقه,روز از آخرین فروش
چیکن فکتوری ایرانمال,سوخاری 5تکه اسپایسی,کم‌فروش,10.9,4.0,18.0,11.0,0.39,26.0,72,2
چیکن فکتوری ایرانمال,سوخاری 7تکه,کم‌فروش,10.9,5.0,17.0,11.0,0.39,28.0,72,2
چیکن فکتوری ایرانمال,ساندویچ مرغ و بادمجان با سس مارینارا,کم‌فروش,10.7,4.0,18.0,11.0,0.38,25.0,73,1
چیکن فکتوری ایرانمال,سوخاری 2تکه اسپایسی,کم‌فروش,10.7,4.0,17.0,11.0,0.38,26.0,73,1
چیکن فکتوری ایرانمال,مرغ تندوری با سس سوییت چیلی,کم‌فروش,9.6,3.0,16.0,10.0,0.34,23.0,73,1
چیکن فکتوری ایرانمال,فانتا قوطی,کم‌فروش,8.2,0.0,18.0,9.0,0.29,11.0,72,2
چیکن فکتوری ایرانمال,باربیکن شیشه ای مالت,کم‌فروش,6.8,0.0,17.0,7.0,0.24,8.0,74,0
چیکن فکتوری ایرانمال,سوخاری 9تکه,کم‌فروش,3.9,2.0,6.0,4.0,0.14,12.0,65,9
چیکن فکتوری ایرانمال,آب پرتقال طبیعی,⚠ راکد — بیش از ۳ هفته بی‌فروش,2.9,0.0,7.0,7.0,0.1,10.0,49,25
چیکن فکتوری ایرانمال,سوخاری 7تکه اسپایسی,کم‌فروش,1.9,0.0,4.0,2.0,0.07,7.0,72,2
چیکن فکتوری ایرانمال,سوخاری 9تکه اسپایسی,کم‌فروش,1.4,0.0,3.0,2.0,0.05,5.0,58,16
چیکن فکتوری ایرانمال,سس سزار اضافه,کم‌فروش,0.8,0.0,2.0,1.0,0.03,1.0,73,1
چیکن فکتوری ایرانمال,فیله گریل فرانسوی,⚠ راکد — بیش از ۳ هفته بی‌فروش,0.6,0.0,2.0,2.0,0.02,2.0,49,25
چیکن فکتوری بام لند,لیموناد قوطی خوشگوار,⚠ جدید — سابقه کوتاه,652.8,528.0,777.0,777.0,23.31,100.0,16,0
چیکن فکتوری بام لند,باربیکن شیشه ای لیمویی,پرحجم پراکنده,251.6,0.0,508.0,252.0,8.99,28.0,74,0
چیکن فکتوری بام لند,باربیکن شیشه ای استوایی,پرحجم پراکنده,57.5,0.0,137.0,58.0,2.05,15.0,74,0
چیکن فکتوری بام لند,کمبو فیله استریپس,کم‌فروش,24.2,9.0,40.0,25.0,0.86,36.0,74,0
چیکن فکتوری بام لند,ساندویچ مرغ و بادمجان با سس مارینارا,کم‌فروش,18.5,6.0,31.0,19.0,0.66,38.0,71,3
چیکن فکتوری بام لند,باربیکن شیشه ای مالت,کم‌فروش,12.1,0.0,32.0,13.0,0.43,8.0,74,0
چیکن فکتوری بام لند,cc 250 دوغ,کم‌فروش,9.9,1.0,19.0,10.0,0.35,18.0,65,9
چیکن فکتوری بام لند,سوخاری 9تکه,کم‌فروش,8.7,3.0,15.0,9.0,0.31,23.0,71,3
چیکن فکتوری بام لند,فیله سوخاری سزار,کم‌فروش,6.5,3.0,10.0,7.0,0.23,13.0,60,14
چیکن فکتوری بام لند,آب پرتقال طبیعی,کم‌فروش,6.3,1.0,11.0,7.0,0.23,14.0,71,3
چیکن فکتوری بام لند,سوخاری 7تکه اسپایسی,کم‌فروش,6.2,2.0,11.0,7.0,0.22,19.0,72,2
چیکن فکتوری بام لند,آب پرتقال,⚠ راکد — بیش از ۳ هفته بی‌فروش,4.9,0.0,10.0,10.0,0.18,6.0,51,23
چیکن فکتوری بام لند,فیله گریل فرانسوی,کم‌فروش,3.9,0.0,7.0,4.0,0.14,8.0,72,2
چیکن فکتوری بام لند,سس سزار اضافه,کم‌فروش,2.7,0.0,6.0,3.0,0.1,8.0,62,12
چیکن فکتوری بام لند,سس دیژون,کم‌فروش,2.4,0.0,5.0,3.0,0.08,7.0,71,3
چیکن فکتوری بام لند,سس سزار,کم‌فروش,2.4,1.0,4.0,3.0,0.09,7.0,58,16
چیکن فکتوری بام لند,سس لمون اضافه,کم‌فروش,2.4,0.0,5.0,3.0,0.08,6.0,71,3
چیکن فکتوری بام لند,سوخاری 9تکه اسپایسی,کم‌فروش,2.4,1.0,4.0,3.0,0.09,7.0,58,16
چیکن فکتوری بام لند,سس دیژون اضافه,کم‌فروش,2.0,1.0,3.0,2.0,0.07,7.0,71,3
